created_at,text,retweets,likes
Thu Mar 04 22:16:22 +0000 2021,"[NYC Vaccine Hub · Bronx] Bronx Science: 51 appts

Mar 5 – 9:30AM, 9:40AM, 9:50AM + 48

https://t.co/jQDJPwNCK4",19,36
Thu Mar 04 22:01:22 +0000 2021,"[NYC H+H · Bronx] Lincoln Hospital: 33 appts

Mar 5 – 11:15AM, 12:15PM, 12:45PM + 5
Mar 6 – 8:45AM, 9:45AM, 10:45AM + 22

https://t.co/iVRnr1hjSf",11,22
Thu Mar 04 21:14:10 +0000 2021,"I'm really burying the lede here, but I'm proud to say that the TurboVax community has raised *$105,000* for @WtChinatown. This will provide critical funding to Chinatown at a time when the community needs it the most

https://t.co/q0G1UXnIjL",38,552
Thu Mar 04 21:14:10 +0000 2021,I also speak to the anxiety that many of Asian-Americans carry during these times. I took this interview last week before the thought of taking action had crossed my mind https://t.co/oPLiV5kklK,12,261
Thu Mar 04 21:14:08 +0000 2021,I do want to appreciate @mirandeee and her editor for including in the piece the three biggest influences of my life https://t.co/PMb1VVu2Hq,1,122
Thu Mar 04 21:14:06 +0000 2021,"Personal news: some press, this time across the pond (I'm a couple days late on this one)

Haven't done any press since the NYT article, but my goal now is to do just enough interviews so that some of you may buy me a beer if you recognize me at the bar https://t.co/dgLzIBn88p",110,1945
Thu Mar 04 19:59:32 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 30 appts

Mar 5 – 12:00AM, 12:15AM, 12:30AM + 27

https://t.co/iVRnr1hjSf",18,35
Thu Mar 04 15:57:29 +0000 2021,"If you're having trouble with the waiting room, go through the form again from the beginning and it will take you directly to the appointments

https://t.co/FV2mQjHzP6

https://t.co/U7SuaKvJ2r",1,13
Thu Mar 04 14:48:24 +0000 2021,"Linked to wrong site in previous tweet (autocorrect!!!) 

Point still stands:
1) lots of J&amp;J shots available at Javits
2) https://t.co/38bdKjMGUt is where its at

https://t.co/FV2mQjHzP6",48,123
Thu Mar 04 06:04:42 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 37 appts

Mar 5 – 7:45AM, 8:00AM, 8:15AM + 34

https://t.co/iVRnr1hjSf",13,31
Thu Mar 04 01:09:56 +0000 2021,"[NYC H+H · Manhattan] Metropolitan Hospital: 35 appts

Mar 4 – 8:00AM, 8:15AM, 8:45AM + 18
Mar 5 – 8:00AM, 8:15AM, 8:30AM + 11

https://t.co/iVRnr1hjSf",19,35
Wed Mar 03 21:58:01 +0000 2021,"[NYC Vaccine Hub · Staten Island] Staten Island Technical High School: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",12,22
Wed Mar 03 21:55:27 +0000 2021,"[NYC Vaccine Hub · Staten Island] Port Richmond High School: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",12,12
Wed Mar 03 21:53:02 +0000 2021,"[NYC Vaccine Hub · Bronx] South Bronx Educational Campus: 42 appts

Mar 4 – 10:00AM, 10:10AM, 10:20AM + 21
Mar 5 – 4:00PM, 4:10PM, 4:20PM + 3
Mar 6 – 4:00PM, 4:10PM, 4:20PM + 3
+ 1 more day

https://t.co/jQDJPwNCK4",11,12
