,year,on spotify?
976,2019,Yes
977,2020,No
978,2014,Yes
979,2015,No
980,2020,No
981,2020,Yes
982,2013,Yes
983,2019,No
984,2012,No
985,2016,No
986,2016,No
987,2020,Yes
988,2019,No
989,2020,Yes
990,2018,Yes
991,2015,No
992,2019,Yes
993,2011,Yes
994,2015,Yes
995,2009,No
996,2013,No
997,2014,No
998,2012,No
999,2020,No
1000,2019,No
1001,2015,No
1002,2020,Yes
1003,2014,No
1004,2011,No
1005,2020,No
1006,2011,Yes
1007,2017,No
1008,2019,No
1009,2018,Yes
1010,2016,Yes
1011,2013,No
1012,2018,Yes
1013,2016,Yes
1014,2016,No
1015,2013,Yes
1016,2020,No
1017,2018,No
1018,2011,Yes
1019,2018,Yes
1020,2016,Yes
1021,2020,Yes
1022,2010,No
1023,2015,No
1024,2017,No
1025,2013,Yes
1026,2012,No
1027,2015,No
1028,2012,Yes
1029,2015,No
1030,2010,No
1031,2014,No
1032,2016,No
1033,2020,Yes
1034,2016,No
1035,2019,No
1036,2016,No
1037,2010,Yes
1038,2014,No
1039,2014,No
1040,2019,No
1041,2012,No
1042,2012,No
1043,2011,No
1044,2015,No
1045,2014,No
1046,2018,No
1047,2020,No
1048,2020,No
1049,2014,No
1050,2017,No
1051,2010,No
1052,2019,No
1053,2017,No
1054,2017,No
1055,2020,Yes
1056,2019,Yes
1057,2017,No
1058,2009,No
1059,2010,No
1060,2017,Yes
1061,2020,Yes
1062,2018,No
1063,2016,No
1064,2012,No
1065,2019,Yes
1066,2014,No
1067,2011,No
1068,2016,No
1069,2011,No
1070,2014,No
1071,2020,No
1072,2011,No
1073,2015,No
1074,2019,No
1075,2020,Yes
1076,2013,Yes
1077,2016,Yes
1078,2011,Yes
1079,2020,No
1080,2019,No
1081,2015,No
1082,2015,Yes
1083,2020,No
1084,2013,Yes
1085,2013,Yes
1086,2011,Yes
1087,2011,No
1088,2020,Yes
1089,2010,No
1090,2013,No
1091,2012,Yes
1092,2018,No
1093,2017,Yes
1094,2015,No
1095,2020,Yes
1096,2014,No
1097,2021,Yes
1098,2019,No
1099,2020,No
1100,2012,No
1101,2020,Yes
1102,2013,No
1103,2012,Yes
1104,2013,No
1105,2013,No
1106,2013,Yes
1107,2016,No
1108,2012,No
1109,2011,No
1110,2019,No
1111,2019,Yes
1112,2015,No
1113,2019,No
1114,2019,No
1115,2020,No
1116,2018,No
1117,2012,No
1118,2020,Yes
1119,2016,No
1120,2018,No
1121,2017,Yes
1122,2019,Yes
1123,2014,No
1124,2015,No
1125,2018,No
1126,2011,No
1127,2019,No
1128,2012,Yes
1129,2013,No
1130,2020,Yes
1131,2020,No
1132,2014,Yes
1133,2019,Yes
1134,2014,No
1135,2016,Yes
1136,2015,No
1137,2010,No
1138,2020,No
1139,2016,No
1140,2016,No
1141,2020,Yes
1142,2014,No
1143,2021,No
1144,2014,No
1145,2018,No
1146,2011,Yes
1147,2020,Yes
1148,2017,No
1149,2016,No
1150,2014,No
1151,2016,Yes
1152,2017,Yes
1153,2016,No
1154,2018,No
1155,2018,Yes
1156,2010,No
1157,2021,No
1158,2020,Yes
1159,2011,No
1160,2014,Yes
1161,2017,No
1162,2014,No
1163,2011,Yes
1164,2015,Yes
1165,2012,No
1166,2019,No
1167,2018,No
1168,2018,No
1169,2017,No
1170,2017,Yes
1171,2017,No
1172,2013,Yes
1173,2011,Yes
1174,2010,Yes
1175,2017,No
1176,2020,No
1177,2015,No
1178,2019,No
1179,2020,No
1180,2018,No
1181,2012,No
1182,2013,No
1183,2011,No
1184,2009,No
1185,2017,No
1186,2012,No
1187,2017,No
1188,2013,No
1189,2015,Yes
1190,2017,Yes
1191,2015,No
1192,2016,Yes
1193,2017,No
1194,2011,No
1195,2017,No
1196,2021,No
1197,2014,No
